Waypoint;Lat_m;Long_m;A320_height;B737NG_height;B777_height;A330_height;B787_height;A320_speed;B737NG_speed;B777_speed;A330_speed;B787_speed;A320_vertical_speed;B737NG_vertical_speed;B777_vertical_speed;A330_vertical_speed;B787_vertical_speed
ABASA;4483.848283;665.5371276;;;;;;;;;;;;;;;
ABILO;317.2581045;3070.771568;;10922.08322;;;;;436.4352187;;;;;4.247213115;;;
AJUNA;-976.9303389;-715.0779424;2364.723558;2236.995631;1978.6621;2173.605653;2196.90001;287.1067896;282.5505451;284.8300853;279.3480611;277.5822595;12.82316102;12.56182912;10.74213444;12.6212475;11.59525044
ALAMO;4048.010791;3543.186025;;;;11675.6073;11651.9361;;;;450.0270593;476.7811273;;;;2.157141055;2.659625806
AMBOY;2975.548012;2342.781111;;;;11029.97917;11294.48242;;;;459.2346306;488.9828544;;;;4.74789347;2.352372196
CA;-2268.032204;3070.771568;10107.24606;10928.59256;;11160.88775;;455.2173013;453.7100226;;455.4058705;;3.948402378;3.536068209;;6.058977358;
DOLTA;1110.223081;-1808.89044;8409.827221;9087.270118;8057.80356;8560.992506;9936.230156;445.9658152;453.445712;469.9419425;442.8535102;472.8673511;5.117529501;5.95051192;7.513661588;6.996887826;9.743606557
FRIDA;877.0767105;2784.637568;9791.82463;10183.04739;;;;462.9809602;455.7115226;;;;3.942958749;3.713780021;;;
LARAS;-356.2014475;369.4741852;;6405.231019;6814.453962;5833.932134;5950.823706;;397.1997867;434.4371642;401.558171;405.4162104;;9.034244286;9.995210856;8.018540419;9.430470913
LEPAS;1678.324348;1642.879012;;;10588.33874;9103.664564;9645.028062;;;479.5309439;456.7266302;483.287799;;;1.073610887;4.438208972;5.28558378
MULAN;434.7572741;545.6199424;8545.406542;8054.049566;8235.573922;7075.490577;7445.075047;431.5960927;432.7163368;458.0869823;414.7046335;432.1242371;4.596190476;5.299647541;8.231598279;5.976798594;7.22923996
MUTIA;-124.3412576;2051.348169;;9226.986989;;8618.865664;;;461.3905862;;406.3626138;;;5.699978495;;5.295254237;
NABIL;-907.4289255;-119.6084568;4424.526157;4216.662018;4297.767049;4120.986759;3856.271518;356.4741717;345.8719943;366.8995285;349.5143208;350.0857443;10.7252169;11.47531047;11.87583758;9.771452918;8.467010025
NADIN;1482.526672;3456.759482;10650.85495;;;;;433.8291403;;;;;0.381;;;;
NANTO;-1231.117509;642.0269136;6623.571331;6997.168432;7293.83981;6644.909288;;408.7721289;400.0982067;461.4782169;403.456085;;7.62699092;8.94688971;13.77809497;8.182801376;
PW;-2024.854131;743.9383992;7538.155436;7847.272316;;9143.999887;;432.6338193;423.2549729;;436.7283071;;6.273986256;4.90532879;;8.82952381;
RATIH;-831.6512101;192.5565144;5629.381461;4876.172787;5695.204821;5021.546472;5070.135144;361.5558792;377.134006;399.7125375;372.7205457;378.6780838;9.811103021;10.3329754;10.51932655;8.822583177;9.50140783
SIKAD;2244.522075;-1168.303827;;;;;;;;;;;;;;;
SUBAG;-1405.61717;385.936428;6009.643619;6358.155023;7079.456139;6031.646577;;400.312396;388.4680164;407.6597661;375.0925137;;8.274651983;9.969309136;8.09625;8.834434102;
TIKHA;4251.730878;1971.609198;;;;;;;;;;;;;;;
TOMBO;1743.504465;450.9621852;;;;;;;;;;;;;;;
TULIP;1660.987487;-2355.436383;9362.736606;10093.52592;9318.359081;9315.326267;10531.83959;468.8375925;466.6993718;494.5240458;469.3125223;499.3242857;5.027432476;5.49884108;6.682066819;6.066880298;7.716483736
WINAR;-1123.032684;-772.69607;1876.720993;1754.59124;1529.000423;1648.564204;1606.478761;278.0889363;273.6244861;272.6983265;264.3865394;271.2749892;13.3876176;13.18032974;10.89217375;12.87965909;12.33748469
